"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"34","Democratic Republic of the Congo",4.31099987030029,5.36,5.72729740034787,5,8.50944444444444,NA,NA,6.66666666666667,7.5,5.5363901701092,2.47327708439355,4.58144464052926,6.93123094838578
"35","Denmark",7.64559984207153,8.56,9.23844450574407,7.89,7.70222222222222,10,10,10,10,10,8.68710082837485,9.52,4.70725087490768
"36","Dominican Republic",5.68919992446899,6.95,6.98216986402105,6.92,8.48703703703704,7.5,7.5,8.33333333333333,10,9.48390142421004,4.35209330477354,5.48,6.431604867066
"37","Ecuador",5.92519998550415,6.82,7.35801772088336,6.28,7.8037037037037,7.5,10,10,7.5,9.5,4.25877086283853,7.68,6.51566474374411
"38","Egypt",4.15140008926392,4.5,3.9463345569402,5.05,3.73333333333333,5,2.5,4.16666666666667,0,5.30434410570705,3.62614750452746,8.99468482304443,4.86293502795087
"39","El Salvador",6.34829998016357,6.89,6.62325912434746,7.16,9.08888888888889,7.5,7.5,8.33333333333333,7.5,8.5,4.35509998945335,0,8.40755019164139
"40","Estonia",6.02180004119873,8.46,9.02180578108812,7.89,8.32962962962963,10,7.5,10,10,10,7.80108555821492,9.12,6.18968536171656
"41","Ethiopia",4.18620014190674,5.25,4.77270391186553,5.72,5.55222222222222,0,0,6.66666666666667,7.5,7.43724440313923,3.30247267201677,6.97535504157163,5.57850688232057
"42","Finland",7.80870008468628,8.53,9.26855813809539,7.8,7.90148148148148,10,10,10,10,9.9031749069057,8.63924832415374,9.52,4.71137726216098
"43","France",6.66379976272583,8.02,8.69371619896776,7.35,7.2537037037037,10,10,10,7.5,9.97635564358674,6.7712647665273,9.48,4.81652000916553
"44","Gabon",4.82929992675781,5.99,6.10279871159904,5.88,8.94444444444444,5,2.5,2.5,7.5,8.96049649974298,4.09753457079946,6.78286527942803,6.2930250893249
"45","Gambia",4.75059986114502,5.94,4.64098928424685,7.23,7.57444444444444,NA,NA,4.16666666666667,0,9,4.46261928747137,6.34859688188148,7.22908838867737
"46","Georgia",4.67259979248047,7.74,7.53399879784852,7.94,7.16074074074074,10,7.5,6.66666666666667,7.5,8.94635198889272,5.38581621835534,9.60415318419179,7.58436382625909
"47","Germany",7.0757999420166,8.53,9.2474907908782,7.82,7.69777777777778,10,10,10,10,9.99435614683195,8.30320952726721,9.6,6.1701345696524
"48","Ghana",5.14799976348877,6.94,7.30413770892206,6.58,8.08148148148148,7.5,7.5,10,2.5,9.5,5.74729157642898,9.16,8.00501265078252
"49","Greece",5.5149998664856,7.33,8.06982810045465,6.59,7.32407407407407,10,10,10,5,8.97396204093335,5.78979066330642,9.72,4.3885692934152
"50","Guatemala",6.39890003204346,7.07,6.56344914611671,7.57,8.47,7.5,7.5,10,7.5,9,3.98767716977421,0,9.44147811884462
"51","Guinea",4.94929981231689,5.61,5.36542174373669,5.86,8.54037037037037,7.5,7.5,6.66666666666667,2.5,9.5,3.21262569754726,6.47016795918268,5.40021382566749
"52","Haiti",3.72079992294312,6.71,6.93377391161417,6.49,8.39222222222222,10,10,7.5,7.5,9,3.4377305670916,6.2,8.50480788934903
"53","Honduras",5.95319986343384,6.81,6.46586770578445,7.16,8.73148148148148,7.5,7.5,10,10,9.48560902653663,3.19472284074727,0,8.83899703655318
